country,state,city,station,date,pollutant_id,AQI
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2025-10-29 22:00:00,NO2,50.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,PM10,
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,NH3,
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,NO2,16.0
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,NH3,2.0
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2025-10-29 22:00:00,OZONE,35.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-10-29 22:00:00,PM10,58.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-10-29 22:00:00,CO,33.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,SO2,1.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,OZONE,7.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,OZONE,2.0
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2025-10-29 22:00:00,OZONE,32.0
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",2025-10-29 22:00:00,PM10,133.0
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",2025-10-29 22:00:00,NO2,21.0
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,SO2,
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,CO,83.0
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2025-10-29 22:00:00,PM2.5,53.0
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2025-10-29 22:00:00,CO,61.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-10-29 22:00:00,OZONE,59.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,CO,51.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,CO,36.0
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2025-10-29 22:00:00,NO2,39.0
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",2025-10-29 22:00:00,PM2.5,133.0
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",2025-10-29 22:00:00,OZONE,23.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",2025-10-29 22:00:00,PM10,
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",2025-10-29 22:00:00,NO2,
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,PM2.5,37.0
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,PM10,69.0
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",2025-10-29 22:00:00,PM10,104.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-10-29 22:00:00,PM2.5,36.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,PM2.5,
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,PM2.5,85.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,PM10,75.0
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2025-10-29 22:00:00,PM2.5,37.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,NO2,24.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,NH3,1.0
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB",2025-10-29 22:00:00,SO2,2.0
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2025-10-29 22:00:00,PM10,64.0
India,Maharashtra,Pune,"Transport Nagar-Nigdi, Pune - IITM",2025-10-29 22:00:00,CO,60.0
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM",2025-10-29 22:00:00,CO,63.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",2025-10-29 22:00:00,PM2.5,
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",2025-10-29 22:00:00,CO,10.0
India,Maharashtra,Pune,"Hadapsar, Pune - IITM",2025-10-29 22:00:00,OZONE,6.0
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB",2025-10-29 22:00:00,OZONE,12.0
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM",2025-10-29 22:00:00,NO2,14.0
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM",2025-10-29 22:00:00,NO2,15.0
