date,AQI
2024-10-31,22.2
2024-11-01,29.24
2024-11-02,31.21
2024-11-03,31.27
2024-11-04,16.28
2024-11-05,24.65
2024-11-06,32.88
2024-11-07,41.3
2024-11-08,39.19
2024-11-09,52.37
2024-11-10,26.84
2024-11-11,31.8
2024-11-12,28.7
2024-11-13,46.44
2024-11-14,21.31
2024-11-15,22.84
2024-11-16,27.2
2024-11-17,13.5
2024-11-18,17.82
2024-11-19,17.08
2024-11-20,28.8
2024-11-21,30.42
2024-11-22,45.03
2024-11-23,39.77
2024-11-24,25.4
2024-11-25,15.21
2024-11-26,27.72
2024-11-27,16.83
2024-11-28,41.87
2024-11-29,38.74
2024-11-30,28.39
2024-12-01,18.24
2024-12-02,35.1
2024-12-03,24.84
2024-12-04,39.66
2024-12-05,16.37
2024-12-06,26.84
2024-12-07,33.46
2024-12-08,31.09
2024-12-09,19.63
2024-12-10,31.17
2024-12-11,21.16
2024-12-12,28.84
2024-12-13,33.07
2024-12-14,38.42
2024-12-15,37.81
2024-12-16,15.14
2024-12-17,15.1
2024-12-18,41.26
2024-12-19,32.68
2024-12-20,26.69
2024-12-21,48.18
2024-12-22,34.56
2024-12-23,35.97
2024-12-24,30.31
2024-12-25,50.41
2024-12-26,47.71
2024-12-27,33.84
2024-12-28,47.29
2024-12-29,43.88
2024-12-30,41.7
2024-12-31,25.3
2025-01-01,40.73
2025-01-02,43.18
2025-01-03,23.71
2025-01-04,32.83
2025-01-05,24.35
2025-01-06,31.74
2025-01-07,42.35
2025-01-08,51.54
2025-01-09,40.84
2025-01-10,56.93
2025-01-11,36.26
2025-01-12,33.36
2025-01-13,36.88
2025-01-14,43.48
2025-01-15,43.65
2025-01-16,27.56
2025-01-17,45.89
2025-01-18,38.0
2025-01-19,52.05
2025-01-20,42.33
2025-01-21,35.49
2025-01-22,41.91
2025-01-23,37.32
2025-01-24,47.31
2025-01-25,59.61
2025-01-26,42.76
2025-01-27,46.67
2025-01-28,41.22
2025-01-29,42.61
2025-01-30,49.28
2025-01-31,43.7
2025-02-01,50.7
2025-02-02,43.63
2025-02-03,60.16
2025-02-04,47.36
2025-02-05,45.08
2025-02-06,52.79
2025-02-07,52.38
2025-02-08,53.76
2025-02-09,58.49
2025-02-10,51.74
2025-02-11,43.17
2025-02-12,46.05
2025-02-13,49.14
2025-02-14,36.8
2025-02-15,46.59
2025-02-16,68.21
2025-02-17,62.73
2025-02-18,48.39
2025-02-19,58.31
2025-02-20,56.57
2025-02-21,83.02
2025-02-22,70.52
2025-02-23,59.1
2025-02-24,44.77
2025-02-25,40.94
2025-02-26,59.65
2025-02-27,52.87
2025-02-28,50.47
2025-03-01,59.24
2025-03-02,55.17
2025-03-03,68.48
2025-03-04,64.78
2025-03-05,62.69
2025-03-06,74.06
2025-03-07,64.65
2025-03-08,60.47
2025-03-09,77.39
2025-03-10,60.52
2025-03-11,50.2
2025-03-12,59.35
2025-03-13,54.47
2025-03-14,51.89
2025-03-15,74.81
2025-03-16,80.25
2025-03-17,45.73
2025-03-18,64.26
2025-03-19,56.75
2025-03-20,58.41
2025-03-21,60.78
2025-03-22,60.49
2025-03-23,66.09
2025-03-24,51.41
2025-03-25,62.99
2025-03-26,62.57
2025-03-27,60.13
2025-03-28,57.32
2025-03-29,63.31
2025-03-30,72.28
2025-03-31,62.62
2025-04-01,52.34
2025-04-02,64.22
2025-04-03,69.75
2025-04-04,51.88
2025-04-05,74.14
2025-04-06,62.92
2025-04-07,63.88
2025-04-08,55.78
2025-04-09,49.7
2025-04-10,51.77
2025-04-11,68.12
2025-04-12,72.17
2025-04-13,61.63
2025-04-14,66.3
2025-04-15,50.55
2025-04-16,67.81
2025-04-17,58.43
2025-04-18,64.26
2025-04-19,72.1
2025-04-20,62.14
2025-04-21,57.83
2025-04-22,71.17
2025-04-23,61.65
2025-04-24,73.54
2025-04-25,59.74
2025-04-26,77.09
2025-04-27,82.07
2025-04-28,44.83
2025-04-29,60.62
2025-04-30,73.8
2025-05-01,66.58
2025-05-02,73.42
2025-05-03,68.3
2025-05-04,72.25
2025-05-05,62.53
2025-05-06,74.9
2025-05-07,69.74
2025-05-08,69.02
2025-05-09,64.48
2025-05-10,67.37
2025-05-11,65.79
2025-05-12,63.21
2025-05-13,58.61
2025-05-14,67.39
2025-05-15,80.75
2025-05-16,73.01
2025-05-17,66.24
2025-05-18,75.3
2025-05-19,54.47
2025-05-20,43.62
2025-05-21,55.47
2025-05-22,49.15
2025-05-23,61.93
2025-05-24,66.86
2025-05-25,78.26
2025-05-26,59.58
2025-05-27,57.33
2025-05-28,71.51
2025-05-29,47.34
2025-05-30,69.51
2025-05-31,77.24
2025-06-01,57.45
2025-06-02,69.85
2025-06-03,65.69
2025-06-04,61.7
2025-06-05,69.56
2025-06-06,83.93
2025-06-07,69.94
2025-06-08,69.97
2025-06-09,54.46
2025-06-10,53.53
2025-06-11,68.32
2025-06-12,54.08
2025-06-13,64.0
2025-06-14,62.28
2025-06-15,66.7
2025-06-16,56.58
2025-06-17,64.37
2025-06-18,54.02
2025-06-19,55.72
2025-06-20,51.69
2025-06-21,58.05
2025-06-22,63.93
2025-06-23,59.08
2025-06-24,45.62
2025-06-25,62.69
2025-06-26,65.64
2025-06-27,60.37
2025-06-28,74.03
2025-06-29,50.32
2025-06-30,38.54
2025-07-01,36.54
2025-07-02,64.35
2025-07-03,56.93
2025-07-04,52.45
2025-07-05,57.18
2025-07-06,44.93
2025-07-07,65.39
2025-07-08,47.42
2025-07-09,50.57
2025-07-10,56.77
2025-07-11,57.21
2025-07-12,56.51
2025-07-13,45.57
2025-07-14,48.25
2025-07-15,60.54
2025-07-16,59.17
2025-07-17,61.35
2025-07-18,45.34
2025-07-19,44.04
2025-07-20,45.93
2025-07-21,38.13
2025-07-22,47.81
2025-07-23,27.1
2025-07-24,53.76
2025-07-25,40.69
2025-07-26,40.77
2025-07-27,33.77
2025-07-28,21.36
2025-07-29,41.62
2025-07-30,39.14
2025-07-31,27.83
2025-08-01,28.6
2025-08-02,39.23
2025-08-03,53.03
2025-08-04,28.72
2025-08-05,20.43
2025-08-06,32.78
2025-08-07,32.26
2025-08-08,15.01
2025-08-09,40.03
2025-08-10,35.24
2025-08-11,35.99
2025-08-12,45.27
2025-08-13,42.0
2025-08-14,30.94
2025-08-15,26.09
2025-08-16,57.67
2025-08-17,35.04
2025-08-18,25.93
2025-08-19,26.8
2025-08-20,31.91
2025-08-21,29.12
2025-08-22,26.79
2025-08-23,30.4
2025-08-24,32.43
2025-08-25,20.67
2025-08-26,21.51
2025-08-27,30.08
2025-08-28,26.44
2025-08-29,42.81
2025-08-30,12.76
2025-08-31,40.39
2025-09-01,33.44
2025-09-02,9.63
2025-09-03,25.73
2025-09-04,25.67
2025-09-05,18.95
2025-09-06,26.56
2025-09-07,22.53
2025-09-08,37.85
2025-09-09,33.73
2025-09-10,40.23
2025-09-11,35.62
2025-09-12,23.14
2025-09-13,30.52
2025-09-14,36.68
2025-09-15,14.68
2025-09-16,32.05
2025-09-17,27.71
2025-09-18,25.8
2025-09-19,37.99
2025-09-20,37.88
2025-09-21,28.31
2025-09-22,33.25
2025-09-23,17.81
2025-09-24,34.75
2025-09-25,34.94
2025-09-26,29.58
2025-09-27,36.83
2025-09-28,22.17
2025-09-29,30.92
2025-09-30,24.74
2025-10-01,24.83
2025-10-02,36.66
2025-10-03,24.3
2025-10-04,21.93
2025-10-05,18.24
2025-10-06,26.83
2025-10-07,13.89
2025-10-08,41.33
2025-10-09,10.2
2025-10-10,42.02
2025-10-11,33.31
2025-10-12,27.68
2025-10-13,14.97
2025-10-14,23.95
2025-10-15,23.3
2025-10-16,32.7
2025-10-17,28.0
2025-10-18,32.01
2025-10-19,25.81
2025-10-20,20.3
2025-10-21,24.48
2025-10-22,11.39
2025-10-23,14.12
2025-10-24,33.19
2025-10-25,31.04
2025-10-26,26.71
2025-10-27,21.66
2025-10-28,26.32
2025-10-29,45.075
2025-10-30,21.42
